year,month,anomaly,total_uncertainty,uncorrelated_uncertainty,correlated_uncertainty,bias_uncertainty,coverage_uncertainty,lower_bound_95pct_bias_uncertainty_range,upper_bound_95pct_bias_uncertainty_range
1850,1,-0.332884,0.137691,0.031029,0.096223,0.033972,0.087080,-0.403148,-0.281405
1850,2,-0.325419,0.136882,0.031764,0.091984,0.034442,0.089891,-0.396758,-0.273219
1850,3,-0.562042,0.147896,0.035444,0.097653,0.032843,0.100011,-0.630219,-0.512555
1850,4,-0.325199,0.134474,0.033697,0.099387,0.032471,0.077562,-0.391267,-0.274269
1850,5,-0.235096,0.117770,0.033461,0.092003,0.028893,0.058743,-0.294966,-0.191697
1850,6,-0.242139,0.129475,0.031951,0.090530,0.029014,0.081888,-0.297516,-0.193938
1850,7,-0.192575,0.121037,0.030310,0.090175,0.029532,0.068757,-0.253033,-0.146800
1850,8,-0.296533,0.116050,0.030835,0.090399,0.029212,0.059088,-0.356789,-0.252282
1850,9,-0.323363,0.112318,0.030955,0.090633,0.031856,0.049274,-0.392648,-0.280889
1850,10,-0.338238,0.122954,0.031026,0.093189,0.035002,0.065161,-0.414332,-0.291522
1850,11,-0.116738,0.115910,0.029992,0.090020,0.035510,0.056312,-0.191431,-0.065133
1850,12,-0.211217,0.113644,0.029627,0.088405,0.034087,0.055316,-0.281369,-0.159063
1851,1,-0.254790,0.116104,0.031523,0.091463,0.033498,0.054761,-0.324282,-0.204863
1851,2,-0.279616,0.123448,0.031271,0.091358,0.033247,0.069353,-0.343231,-0.223586
1851,3,-0.232215,0.122877,0.032342,0.093749,0.033416,0.064399,-0.300233,-0.179181
1851,4,-0.410319,0.122976,0.033369,0.098259,0.032370,0.057506,-0.475424,-0.358025
1851,5,-0.271022,0.121756,0.034778,0.099484,0.030281,0.052924,-0.331209,-0.221048
1851,6,-0.261354,0.133788,0.033828,0.097895,0.030965,0.078819,-0.316402,-0.205332
1851,7,-0.164519,0.122143,0.032159,0.094965,0.030559,0.062711,-0.222036,-0.112101
1851,8,-0.223087,0.118516,0.031851,0.097880,0.027871,0.051712,-0.281665,-0.181814
1851,9,-0.083249,0.128290,0.035080,0.101240,0.028955,0.064340,-0.144784,-0.041356
1851,10,-0.061205,0.137356,0.034090,0.101446,0.032643,0.079672,-0.130265,-0.014849
1851,11,0.102438,0.133646,0.035262,0.101658,0.034942,0.071152,0.028239,0.149288
1851,12,0.025396,0.127057,0.033622,0.097084,0.033119,0.067014,-0.043107,0.075074
1852,1,-0.294024,0.125289,0.032314,0.094158,0.031689,0.069160,-0.356879,-0.243546
1852,2,-0.418961,0.129888,0.033789,0.100289,0.031295,0.068498,-0.480899,-0.368806
